order_id,operation_seq,machine_id,start,end,is_primary
MO_03542,1,CUR_M6,2026-01-13 08:00:00,2026-01-13 08:22:00,False
MO_03542,2,CAL_M4,2026-01-13 08:22:00,2026-01-13 09:05:00,True
MO_03542,3,MIX_M1,2026-01-13 09:05:00,2026-01-13 09:40:00,False
MO_03542,4,CUR_M3,2026-01-13 09:40:00,2026-01-13 10:12:00,False
MO_03542,5,CUR_M5,2026-01-13 10:12:00,2026-01-13 11:40:00,True
MO_03542,6,CAL_M4,2026-01-13 11:40:00,2026-01-13 12:03:00,False
MO_03542,7,INS_M2,2026-01-13 12:03:00,2026-01-13 12:29:00,True
MO_03541,1,FIN_M2,2026-01-13 08:00:00,2026-01-13 08:13:00,False
MO_03541,2,BLD_M4,2026-01-13 08:13:00,2026-01-13 08:37:00,False
MO_03541,3,CAL_M4,2026-01-13 09:24:00,2026-01-13 09:50:00,False
MO_03541,4,FIN_M1,2026-01-13 09:50:00,2026-01-13 10:33:00,False
MO_03541,5,MIX_M3,2026-01-13 10:33:00,2026-01-13 10:58:00,False
MO_03541,6,CUR_M1,2026-01-13 10:58:00,2026-01-13 11:32:00,False
MO_03541,7,FIN_M4,2026-01-13 11:32:00,2026-01-13 12:49:00,False
MO_03541,8,CUR_M1,2026-01-13 12:49:00,2026-01-13 14:19:00,True
MO_03541,9,CUR_M3,2026-01-13 15:12:00,2026-01-13 15:24:00,False
MO_03541,10,CUR_M8,2026-01-13 15:24:00,2026-01-13 15:36:00,False
MO_03524,1,CUR_M6,2026-01-26 04:00:00,2026-01-26 04:22:00,False
MO_03524,2,CAL_M4,2026-01-26 04:32:00,2026-01-26 05:15:00,True
MO_03524,3,MIX_M1,2026-01-26 05:15:00,2026-01-26 05:50:00,False
MO_03524,4,CUR_M3,2026-01-26 06:04:00,2026-01-26 06:38:00,False
MO_03524,5,CUR_M5,2026-01-26 06:38:00,2026-01-26 08:06:00,True
MO_03524,6,CAL_M4,2026-01-26 08:06:00,2026-01-26 08:29:00,False
MO_03524,7,INS_M2,2026-01-26 08:29:00,2026-01-26 08:55:00,True
MO_03523,1,FIN_M2,2026-01-26 04:00:00,2026-01-26 04:13:00,False
MO_03523,2,BLD_M4,2026-01-26 04:13:00,2026-01-26 04:37:00,False
MO_03523,3,CAL_M4,2026-01-26 05:24:00,2026-01-26 05:50:00,False
MO_03523,4,FIN_M1,2026-01-26 05:50:00,2026-01-26 06:33:00,False
MO_03523,5,MIX_M3,2026-01-26 06:33:00,2026-01-26 06:58:00,False
MO_03523,6,CUR_M1,2026-01-26 06:58:00,2026-01-26 07:32:00,False
MO_03523,7,FIN_M4,2026-01-26 07:32:00,2026-01-26 08:49:00,False
MO_03523,8,CUR_M1,2026-01-26 08:49:00,2026-01-26 10:19:00,True
MO_03523,9,CUR_M3,2026-01-26 11:12:00,2026-01-26 11:24:00,False
MO_03523,10,CUR_M8,2026-01-26 11:24:00,2026-01-26 11:36:00,False
MO_03518,1,FIN_M2,2026-01-18 16:46:00,2026-01-18 17:05:00,False
MO_03518,2,INS_M3,2026-01-18 17:05:00,2026-01-18 17:25:00,False
MO_03518,3,CUR_M6,2026-01-18 17:51:00,2026-01-18 18:08:00,False
MO_03518,4,CUR_M8,2026-01-18 18:39:00,2026-01-18 19:21:00,False
MO_03518,5,CUR_M1,2026-01-18 19:52:00,2026-01-18 20:38:00,False
MO_03518,6,FIN_M2,2026-01-18 20:38:00,2026-01-18 21:06:00,False
MO_03518,7,INS_M1,2026-01-18 21:06:00,2026-01-18 21:34:00,True
MO_03513,1,MIX_M1,2026-01-30 21:28:00,2026-01-30 21:57:00,True
MO_03513,2,MIX_M4,2026-01-30 21:57:00,2026-01-30 22:22:00,False
MO_03513,3,CUR_M8,2026-01-30 22:34:00,2026-01-30 22:54:00,False
MO_03513,4,BLD_M4,2026-01-30 23:23:00,2026-01-30 23:55:00,True
MO_03513,5,CAL_M2,2026-01-30 23:55:00,2026-01-31 00:57:00,False
MO_03513,6,FIN_M1,2026-01-31 01:04:00,2026-01-31 01:24:00,False
MO_03513,7,INS_M1,2026-01-31 02:13:00,2026-01-31 02:30:00,True
MO_03512,1,CAL_M3,2026-01-30 21:00:00,2026-01-30 21:16:00,False
MO_03512,2,CAL_M3,2026-01-30 21:16:00,2026-01-30 21:38:00,True
MO_03512,3,CUR_M8,2026-01-30 21:56:00,2026-01-30 22:24:00,False
MO_03512,4,EXT_M1,2026-01-30 22:24:00,2026-01-30 23:03:00,True
MO_03512,5,BLD_M6,2026-01-30 23:03:00,2026-01-30 23:45:00,True
MO_03512,6,CAL_M1,2026-01-30 23:45:00,2026-01-31 00:42:00,False
