machine_id,product_id,eligible
MIX_M1,TYRE_0000,0
MIX_M1,TYRE_0001,0
MIX_M1,TYRE_0002,1
MIX_M1,TYRE_0003,1
MIX_M1,TYRE_0004,1
MIX_M1,TYRE_0005,1
MIX_M1,TYRE_0006,0
MIX_M1,TYRE_0007,1
MIX_M1,TYRE_0008,1
MIX_M1,TYRE_0009,1
MIX_M1,TYRE_0010,0
MIX_M1,TYRE_0011,1
MIX_M1,TYRE_0012,1
MIX_M1,TYRE_0013,1
MIX_M1,TYRE_0014,1
MIX_M1,TYRE_0015,1
MIX_M1,TYRE_0016,0
MIX_M1,TYRE_0017,1
MIX_M1,TYRE_0018,1
MIX_M1,TYRE_0019,1
MIX_M1,TYRE_0020,1
MIX_M1,TYRE_0021,1
MIX_M1,TYRE_0022,1
MIX_M1,TYRE_0023,1
MIX_M1,TYRE_0024,1
MIX_M1,TYRE_0025,1
MIX_M1,TYRE_0026,1
MIX_M1,TYRE_0027,1
MIX_M1,TYRE_0028,1
MIX_M1,TYRE_0029,0
MIX_M1,TYRE_0030,0
MIX_M1,TYRE_0031,1
MIX_M1,TYRE_0032,1
MIX_M1,TYRE_0033,1
MIX_M1,TYRE_0034,1
MIX_M1,TYRE_0035,0
MIX_M1,TYRE_0036,1
MIX_M1,TYRE_0037,1
MIX_M1,TYRE_0038,1
MIX_M1,TYRE_0039,1
MIX_M1,TYRE_0040,1
MIX_M1,TYRE_0041,0
MIX_M1,TYRE_0042,1
MIX_M1,TYRE_0043,1
MIX_M1,TYRE_0044,1
MIX_M1,TYRE_0045,1
MIX_M1,TYRE_0046,0
MIX_M1,TYRE_0047,1
MIX_M1,TYRE_0048,1
MIX_M1,TYRE_0049,0
MIX_M1,TYRE_0050,1
MIX_M1,TYRE_0051,1
MIX_M1,TYRE_0052,1
MIX_M1,TYRE_0053,1
MIX_M1,TYRE_0054,1
MIX_M1,TYRE_0055,1
MIX_M1,TYRE_0056,0
MIX_M1,TYRE_0057,0
MIX_M1,TYRE_0058,0
MIX_M1,TYRE_0059,1
MIX_M1,TYRE_0060,1
MIX_M1,TYRE_0061,1
MIX_M1,TYRE_0062,1
MIX_M1,TYRE_0063,1
MIX_M1,TYRE_0064,1
MIX_M1,TYRE_0065,1
MIX_M1,TYRE_0066,1
MIX_M1,TYRE_0067,1
MIX_M1,TYRE_0068,1
MIX_M1,TYRE_0069,1
MIX_M1,TYRE_0070,0
