product_id,operation_seq,department,machine_id,proc_time_min,setup_family,buffer_id,transfer_time_min,is_primary,efficiency
TYRE_0000,1,MIX,MIX_M1,10.0,TYRE_0000,BUF_SEC_2,10,1,1.0
TYRE_0000,1,MIX,BLD_M3,12.760044663790344,TYRE_0000,BUF_SEC_2,10,0,0.7836963163912251
TYRE_0000,1,MIX,CUR_M1,11.424826838802089,TYRE_0000,BUF_SEC_2,10,0,0.8752867891211309
TYRE_0000,1,MIX,FIN_M1,10.871726493265047,TYRE_0000,BUF_SEC_2,10,0,0.919817105976215
TYRE_0000,2,CAL,CAL_M3,22.0,TYRE_0000,BUF_SEC_1,1,1,1.0
TYRE_0000,2,CAL,BLD_M3,17.164023147580643,TYRE_0000,BUF_SEC_1,1,0,1.2817507766587353
TYRE_0000,2,CAL,EXT_M5,18.882828456269745,TYRE_0000,BUF_SEC_1,1,0,1.1650796940166688
TYRE_0000,3,EXT,EXT_M2,19.0,TYRE_0000,BUF_SEC_1,11,1,1.0
TYRE_0000,3,EXT,MIX_M2,16.340400357947466,TYRE_0000,BUF_SEC_1,11,0,1.1627622080115674
TYRE_0000,3,EXT,MIX_M4,25.522993299911324,TYRE_0000,BUF_SEC_1,11,0,0.7444267910404542
TYRE_0000,4,BLD,BLD_M6,23.0,TYRE_0000,BUF_SEC_2,7,1,1.0
TYRE_0000,4,BLD,EXT_M3,32.15652224464071,TYRE_0000,BUF_SEC_2,7,0,0.7152514760464571
TYRE_0000,4,BLD,FIN_M2,30.07578353942019,TYRE_0000,BUF_SEC_2,7,0,0.7647348561959826
TYRE_0000,4,BLD,MIX_M4,31.995214120836636,TYRE_0000,BUF_SEC_2,7,0,0.7188575114120405
TYRE_0000,5,CUR,CUR_M2,77.0,TYRE_0000,BUF_SEC_3,11,1,1.0
TYRE_0000,5,CUR,CUR_M8,64.66193073913794,TYRE_0000,BUF_SEC_3,11,0,1.190808859553496
TYRE_0000,5,CUR,FIN_M4,63.29954987272808,TYRE_0000,BUF_SEC_3,11,0,1.216438349953806
TYRE_0000,6,FIN,FIN_M4,11.0,TYRE_0000,BUF_SEC_1,14,1,1.0
TYRE_0000,6,FIN,CUR_M4,12.684679147608339,TYRE_0000,BUF_SEC_1,14,0,0.8671878785419669
TYRE_0000,6,FIN,INS_M3,8.83562856540387,TYRE_0000,BUF_SEC_1,14,0,1.2449595315799922
TYRE_0000,6,FIN,MIX_M4,13.037235830351298,TYRE_0000,BUF_SEC_1,14,0,0.8437371344001834
TYRE_0000,7,INS,INS_M1,12.0,TYRE_0000,BUF_SEC_1,4,1,1.0
TYRE_0000,7,INS,INS_M3,9.49131338579692,TYRE_0000,BUF_SEC_1,4,0,1.2643139586937624
TYRE_0000,7,INS,CAL_M3,12.785772501710994,TYRE_0000,BUF_SEC_1,4,0,0.9385432126525134
TYRE_0001,1,MIX,MIX_M2,17.0,TYRE_0001,BUF_SEC_5,5,1,1.0
TYRE_0001,1,MIX,FIN_M4,13.79129005581041,TYRE_0001,BUF_SEC_5,5,0,1.232662059256576
TYRE_0001,1,MIX,CAL_M2,14.043121494788165,TYRE_0001,BUF_SEC_5,5,0,1.2105570692605077
